energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,acousticness,mode,key,duration_ms,time_signature,popularity,playlist_genre
0.592,157.969,0.521,-7.777,0.122,0.535,0.0304,0.0,0.308,0.0,6.0,251668.0,3.0,1,pop
0.507,104.978,0.747,-10.171,0.117,0.438,0.0358,0.0608,0.2,1.0,2.0,210373.0,4.0,1,pop
0.808,108.548,0.554,-4.169,0.159,0.372,0.0368,0.0,0.214,1.0,1.0,166300.0,4.0,1,pop
0.91,112.966,0.67,-4.07,0.304,0.786,0.0634,0.0,0.0939,0.0,0.0,157280.0,4.0,1,pop
0.783,149.027,0.777,-4.477,0.355,0.939,0.26,0.0,0.0283,0.0,0.0,169917.0,4.0,1,pop
0.582,116.712,0.7,-5.96,0.0881,0.785,0.0356,0.0,0.0502,0.0,11.0,218424.0,4.0,1,pop
0.561,150.069,0.669,-6.538,0.0954,0.841,0.0411,0.00962,0.495,1.0,10.0,169698.0,4.0,1,pop
0.247,148.101,0.467,-12.002,0.17,0.126,0.0431,0.000271,0.612,0.0,6.0,261467.0,4.0,1,pop
0.416,94.926,0.492,-10.439,0.203,0.297,0.0254,8.61e-05,0.686,1.0,11.0,211979.0,4.0,1,pop
0.722,119.973,0.769,-5.485,0.111,0.57,0.0507,2.56e-06,0.0584,0.0,11.0,256000.0,4.0,1,pop
0.667,130.019,0.776,-6.622,0.0761,0.618,0.0983,0.3,0.0146,1.0,7.0,145219.0,4.0,1,pop
0.586,107.071,0.669,-6.073,0.104,0.579,0.054,0.0,0.274,1.0,9.0,186365.0,4.0,1,pop
0.806,104.032,0.608,-3.443,0.191,0.587,0.0486,0.0,0.121,1.0,1.0,181821.0,4.0,1,pop
0.709,81.012,0.722,-4.95,0.0804,0.604,0.0273,0.0,0.0633,1.0,9.0,171292.0,4.0,1,pop
0.757,139.982,0.742,-4.981,0.305,0.957,0.0421,0.0,0.0187,1.0,6.0,184841.0,4.0,1,pop
0.917,100.987,0.562,-2.768,0.488,0.501,0.117,0.0,0.0513,0.0,11.0,229997.0,4.0,1,pop
0.787,109.939,0.734,-3.951,0.312,0.672,0.116,0.0,0.126,0.0,5.0,155757.0,4.0,1,pop
0.843,122.064,0.619,-5.348,0.164,0.746,0.0284,0.000118,0.00948,0.0,5.0,204829.0,4.0,1,pop
0.406,115.94,0.53,-7.507,0.133,0.338,0.033,0.0,0.656,1.0,10.0,157147.0,3.0,1,pop
0.782,119.992,0.727,-8.529,0.225,0.655,0.042,0.336,0.0563,0.0,8.0,177599.0,4.0,1,pop
0.812,80.09,0.505,-3.986,0.444,0.664,0.461,0.0,0.285,1.0,1.0,255916.0,4.0,1,pop
0.76,103.969,0.701,-5.478,0.185,0.69,0.0285,6.54e-05,0.107,1.0,0.0,175459.0,4.0,1,pop
0.725,116.988,0.894,-4.984,0.0815,0.838,0.0432,1.15e-05,0.00434,0.0,10.0,136627.0,4.0,1,pop
0.563,105.008,0.833,-5.593,0.139,0.343,0.204,1.27e-05,0.528,0.0,4.0,182857.0,4.0,1,pop
0.628,119.98,0.757,-6.715,0.221,0.321,0.101,0.0209,0.189,0.0,4.0,217333.0,4.0,1,pop
0.855,127.986,0.638,-4.86,0.245,0.731,0.0264,0.0,0.00757,1.0,7.0,178206.0,4.0,1,pop
0.62,117.038,0.741,-5.505,0.0398,0.934,0.0412,0.000809,0.0295,1.0,10.0,251424.0,4.0,1,pop
0.339,97.989,0.705,-10.612,0.12,0.457,0.0278,0.0814,0.552,1.0,7.0,236907.0,4.0,1,pop
0.651,112.648,0.694,-6.968,0.0787,0.471,0.0784,1.36e-05,0.496,1.0,6.0,225881.0,3.0,1,pop
0.601,123.994,0.635,-6.129,0.11,0.332,0.0295,0.0,0.246,0.0,1.0,172533.0,4.0,1,pop
